,Date,DGS10
0,42705,2.45
1,42706,2.4
2,42709,2.39
3,42710,2.39
4,42711,2.34
5,42712,2.4
6,42713,2.47
7,42716,2.49
8,42717,2.48
9,42718,2.54
10,42719,2.6
11,42720,2.6
12,42723,2.54
13,42724,2.57
14,42725,2.55
15,42726,2.55
16,42727,2.55
17,42730,2.55
18,42731,2.57
19,42732,2.51
20,42733,2.49
21,42734,2.45
22,42737,2.45
23,42738,2.45
24,42739,2.46
25,42740,2.37
26,42741,2.42
27,42744,2.38
28,42745,2.38
29,42746,2.38
30,42747,2.36
31,42748,2.4
32,42751,2.4
33,42752,2.33
34,42753,2.42
35,42754,2.47
36,42755,2.48
37,42758,2.41
38,42759,2.47
39,42760,2.53
40,42761,2.51
41,42762,2.49
42,42765,2.49
43,42766,2.45
44,42767,2.48
45,42768,2.48
46,42769,2.49
47,42772,2.42
48,42773,2.4
49,42774,2.34
50,42775,2.4
51,42776,2.41
52,42779,2.43
53,42780,2.47
54,42781,2.51
55,42782,2.45
56,42783,2.42
57,42786,2.42
58,42787,2.43
59,42788,2.42
60,42789,2.38
61,42790,2.31
62,42793,2.36
63,42794,2.36
64,42795,2.46
65,42796,2.49
66,42797,2.49
67,42800,2.49
68,42801,2.52
69,42802,2.57
70,42803,2.6
71,42804,2.58
72,42807,2.62
73,42808,2.6
74,42809,2.51
75,42810,2.53
76,42811,2.5
77,42814,2.47
78,42815,2.43
79,42816,2.4
80,42817,2.41
81,42818,2.4
82,42821,2.38
83,42822,2.42
84,42823,2.39
85,42824,2.42
86,42825,2.4
87,42828,2.35
88,42829,2.36
89,42830,2.34
90,42831,2.34
91,42832,2.38
92,42835,2.37
93,42836,2.32
94,42837,2.28
95,42838,2.24
96,42839,2.24
97,42842,2.26
98,42843,2.18
99,42844,2.21
100,42845,2.24
101,42846,2.24
102,42849,2.28
103,42850,2.35
104,42851,2.32
105,42852,2.3
106,42853,2.29
107,42856,2.33
108,42857,2.29
109,42858,2.33
110,42859,2.36
111,42860,2.36
112,42863,2.39
113,42864,2.42
114,42865,2.41
115,42866,2.39
116,42867,2.33
117,42870,2.34
118,42871,2.33
119,42872,2.22
120,42873,2.23
121,42874,2.23
122,42877,2.25
123,42878,2.29
124,42879,2.26
125,42880,2.25
126,42881,2.25
127,42884,2.25
128,42885,2.21
129,42886,2.21
130,42887,2.21
131,42888,2.15
132,42891,2.18
133,42892,2.14
134,42893,2.18
135,42894,2.19
136,42895,2.21
137,42898,2.21
138,42899,2.21
139,42900,2.15
140,42901,2.16
141,42902,2.16
142,42905,2.19
143,42906,2.16
144,42907,2.16
145,42908,2.15
146,42909,2.15
147,42912,2.14
148,42913,2.21
149,42914,2.22
150,42915,2.27
151,42916,2.31
152,42919,2.35
153,42920,2.35
154,42921,2.33
155,42922,2.37
156,42923,2.39
157,42926,2.38
158,42927,2.37
159,42928,2.33
