Date,DOLLAR
42705,101.040001
42706,100.769997
42708,
42709,100.139999
42710,100.489998
42711,100.230003
42712,101.07
42713,101.57
42715,
42716,100.959999
42717,101.029999
42718,102
42719,103.129997
42720,102.949997
42722,
42723,103.139999
42724,103.290001
42725,103.019997
42726,103.089996
42727,103.010002
42729,
42731,103.019997
42732,103.260002
42733,102.68
42734,102.389999
42736,
42738,103.209999
42739,102.699997
42740,101.519997
42741,102.220001
42743,
42744,101.93
42745,102.010002
42746,101.779999
42747,101.349998
42748,101.18
42750,
42752,100.330002
42753,100.93
42754,101.150002
42755,100.739998
42757,
42758,100.160004
42759,100.349998
42760,100.029999
42761,100.379997
42762,100.529999
42764,
42765,100.43
42766,99.510002
42767,99.639999
42768,99.849998
42769,99.870003
42771,
42772,99.910004
42773,100.260002
42774,100.279999
42775,100.650002
42776,100.800003
42778,
42779,100.959999
42780,101.25
42781,101.18
42782,100.440002
42783,100.949997
42785,
42787,101.370003
42788,101.330002
42789,101.050003
42790,101.089996
42792,
42793,101.129997
42794,101.120003
42795,101.779999
42796,102.199997
42797,101.540001
42799,
42800,101.639999
42801,101.809998
42802,102.07
42803,101.849998
42804,101.25
42806,
42807,101.379997
42808,101.699997
42809,100.739998
42810,100.269997
42811,100.300003
42813,
42814,100.410004
42815,99.809998
42816,99.68
42817,99.760002
42818,99.629997
42820,
42821,99.169998
42822,99.709999
42823,100
42824,100.410004
42825,100.349998
42827,
42828,100.540001
42829,100.540001
42830,100.559998
42831,100.669998
42832,101.18
42834,
42835,101.019997
42836,100.709999
42837,100.779999
42838,100.559998
42841,
42842,100.300003
42843,99.5
42844,99.739998
42845,99.779999
42846,99.980003
42848,
42849,99.089996
42850,98.82
42851,98.959999
42852,99.080002
42853,99.050003
42855,
42856,99.139999
42857,98.980003
42858,99.209999
42859,98.760002
42860,98.650002
42862,
42863,99.150002
42864,99.589996
42865,99.669998
42866,99.620003
42867,99.25
42869,
42870,98.910004
42871,98.110001
42872,97.419998
42873,97.879997
42874,97.150002
42876,
42877,96.980003
42878,97.349998
42879,97.239998
42880,97.25
42881,97.400002
42883,
42885,97.279999
42886,96.919998
42887,97.199997
42888,96.720001
42890,
42891,96.800003
42892,96.639999
42893,96.75
42894,96.919998
42895,97.269997
42897,
42898,97.139999
42899,96.980003
42900,96.940002
42901,97.43
42902,97.160004
42904,
42905,97.529999
42906,97.75
42907,97.559998
42908,97.540001
42909,97.300003
42911,
42912,97.43
42913,96.470001
42914,96.050003
42915,95.629997
42916,95.660004
42918,
42919,96.199997
42921,96.290001
42922,95.82
42923,96.010002
42925,
42926,96.050003
42927,95.739998
42928,95.790001
42929,95.730003
42930,95.110001
42932,
42933,95.129997
42934,94.660004
42935,94.800003
42936,94.269997
42937,93.940002
42939,
42940,93.980003
42941,94.050003
42942,93.669998
42943,93.860001
42944,93.260002
42946,
42947,92.860001
42948,93.029999
42949,92.830002
42950,92.809998
42951,93.540001
42953,
42954,93.43
42955,93.639999
42956,93.519997
42957,93.400002
42958,93.07
42960,
42961,93.459999
42962,93.849998
42963,93.489998
42964,93.620003
42965,93.43
42967,
42968,93.099998
42969,93.550003
42970,93.150002
42971,93.279999
42972,92.739998
42974,
42975,92.209999
42976,92.349998
42977,92.879997
42978,92.669998
42979,92.809998
42981,
42983,92.309998
42984,92.290001
42985,91.529999
42986,91.330002
42988,
42989,91.860001
42990,91.910004
42991,92.519997
42992,92.120003
42993,91.870003
42995,
42996,92.050003
42997,91.790001
42998,92.510002
42999,92.260002
43000,92.169998
43002,
43003,92.650002
43004,92.970001
43005,93.360001
43006,93.089996
43007,93.080002
43009,
43010,93.559998
43011,93.57
43012,93.459999
43013,93.959999
43014,93.800003
43016,
43017,93.739998
43018,93.290001
43019,92.959999
43020,93.120003
43021,93.089996
43023,
43024,93.279999
43025,93.489998
43026,93.360001
43027,93.269997
43028,93.699997
43030,
43031,93.940002
43032,93.959999
43033,93.709999
43034,94.610001
