Date,GOLD
42705,1169.4
42706,1177.8
42709,1176.5
42710,1170.1
42711,1177.5
42712,1172.4
42713,1161.9
42716,1165.8
42717,1159
42718,1163.7
42719,1129.8
42720,1137.4
42723,1142.7
42724,1133.6
42725,1133.2
42726,1133.6
42727,1133.6
42731,1138.8
42732,1140.9
42733,1158.1
42734,1151.7
42738,1162
42739,1165.3
42740,1181.3
42741,1173.4
42744,1184.9
42745,1185.5
42746,1196.6
42747,1199.8
42748,1196.2
42752,1212.9
42753,1212.1
42754,1201.5
42755,1204.9
42758,1215.6
42759,1210.8
42760,1200.5
42761,1192.5
42762,1191.1
42765,1196
42766,1211.4
42767,1208.3
42768,1219.4
42769,1220.8
42772,1232.1
42773,1236.1
42774,1239.5
42775,1236.8
42776,1235.9
42779,1225.8
42780,1225.4
42781,1233.1
42782,1241.6
42783,1239.1
42787,1238.9
42788,1233.3
42789,1251.4
42790,1258.3
42793,1258.8
42794,1253.9
42795,1250
42796,1232.9
42797,1226.5
42800,1225.5
42801,1216.1
42802,1209.4
42803,1203.2
42804,1201.4
42807,1203.1
42808,1202.6
42809,1200.7
42810,1227.1
42811,1230.2
42814,1234
42815,1246.5
42816,1249.7
42817,1250.1
42818,1251.7
42821,1258.8
42822,1258.8
42823,1256.8
42824,1248
42825,1251.2
42828,1254
42829,1258.4
42830,1248.5
42831,1253.3
42832,1257.3
42835,1253.9
42836,1274.2
42837,1278.1
42838,1288.5
42842,1291.9
42843,1294.1
42844,1283.4
42845,1283.8
42846,1289.1
42849,1277.5
42850,1267.2
42851,1264.2
42852,1265.9
42853,1268.3
42856,1255.5
42857,1257
42858,1248.5
42859,1228.6
42860,1226.9
42863,1227.1
42864,1216.1
42865,1218.9
42866,1224.2
42867,1227.7
42870,1230
42871,1236.4
42872,1258.7
42873,1252.8
42874,1253.6
42877,1261.4
42878,1255.5
42879,1253.1
42880,1259.8
42881,1271.4
42885,1265.7
42886,1275.4
42887,1270.1
42888,1280.2
42891,1282.7
42892,1297.5
42893,1293.2
42894,1279.5
42895,1271.4
42898,1268.9
42899,1268.6
42900,1275.9
42901,1254.6
42902,1256.5
42905,1246.7
42906,1243.5
42907,1245.8
42908,1249.4
42909,1256.4
42912,1246.4
42913,1246.9
42914,1249.1
42915,1245.8
42916,1242.3
42919,1219.2
42921,1221.7
42922,1223.3
42923,1209.7
42926,1213.2
42927,1214.7
42928,1219.1
42929,1217.3
42930,1227.5
42933,1233.7
42934,1241.9
42935,1242
42936,1245.5
42937,1261
42940,1260.7
42941,1258.5
42942,1255.6
42943,1266.5
42944,1275.3
42947,1273.4
42948,1279.4
42949,1278.4
42950,1274.4
42951,1264.6
42954,1264.7
42955,1262.6
42956,1279.3
42957,1290.1
42958,1294
42961,1290.4
42962,1279.7
42963,1282.9
42964,1292.4
42965,1291.6
42968,1296.7
42969,1291
42970,1294.7
42971,1292
42972,1297.9
42975,1315.3
42976,1318.9
42977,1314.1
42978,1322.2
42979,1330.4
42983,1344.5
42984,1339
42985,1350.3
42986,1351.2
42989,1335.7
42990,1332.7
42991,1328
42992,1329.3
42993,1325.2
42996,1310.8
42997,1310.6
