Date,OIL
42705,53.94
42706,54.46
42709,54.94
42710,53.93
42711,53
42712,53.89
42713,54.33
42716,55.69
42717,55.72
42718,53.9
42719,54.02
42720,55.21
42723,54.92
42724,55.35
42725,54.46
42726,55.05
42727,55.16
42731,56.09
42732,56.22
42733,56.14
42734,56.82
42737,56.82
42738,55.47
42739,56.46
42740,56.89
42741,57.1
42744,54.94
42745,53.64
42746,55.1
42747,56.01
42748,55.45
42751,55.86
42752,55.47
42753,53.92
42754,54.16
42755,55.49
42758,55.23
42759,55.44
42760,55.08
42761,56.24
42762,55.52
42765,55.23
42766,55.7
42767,56.8
42768,56.56
42769,56.81
42772,55.72
42773,55.05
42774,55.12
42775,55.63
42776,56.7
42779,55.59
42780,55.97
42781,55.75
42782,55.65
42783,55.81
42786,56.18
42787,56.66
42788,55.84
42789,56.58
42790,55.99
42793,55.93
42794,55.59
42795,56.36
42796,55.08
42797,55.9
42800,56.01
42801,55.92
42802,53.11
42803,52.19
42804,51.37
42807,51.35
42808,50.92
42809,51.81
42810,51.74
42811,51.76
42814,51.62
42815,50.96
42816,50.64
42817,50.56
42818,50.8
42821,50.75
42822,51.33
42823,52.42
42824,52.96
42825,52.83
42828,53.12
42829,54.17
42830,54.36
42831,54.89
42832,55.24
42835,55.98
42836,56.23
42837,55.86
42838,55.89
42842,55.36
42843,54.89
42844,52.93
42845,52.99
42846,51.96
42849,51.6
42850,52.1
42851,51.82
42852,51.44
42853,51.73
42856,51.52
42857,50.46
42858,50.79
42859,48.38
42860,49.1
42863,49.34
42864,48.73
42865,50.22
42866,50.77
42867,50.84
42870,51.82
42871,51.65
42872,52.21
42873,52.51
42874,53.61
42877,53.87
42878,54.15
42879,53.96
42880,51.46
42881,52.15
42884,52.29
42885,51.84
42886,50.31
42887,50.63
42888,49.95
42891,49.47
42892,50.12
42893,48.06
42894,47.86
42895,48.15
42898,48.29
42899,48.72
42900,47
42901,46.92
42902,47.37
42905,46.91
42906,46.02
42907,44.82
42908,45.22
42909,45.54
42912,45.83
42913,46.65
42914,47.31
42915,47.42
42916,47.92
42919,49.68
42920,49.61
42921,47.79
42922,48.11
42923,46.71
42926,46.88
42927,47.52
42928,47.74
42929,48.42
