Date,SPY,UPDOWN,MONTH
42705,219.57,0,12
42706,219.68,0.050097919,
42709,221,0.600873999,
42710,221.7,0.316742081,
42711,224.6,1.308073974,
42712,225.15,0.244879786,
42713,226.51,0.60404175,
42716,226.25,-0.114785219,
42717,227.76,0.667403315,
42718,225.88,-0.825430277,
42719,226.81,0.411723039,
42720,225.04,-0.780388872,
42723,225.53,0.217739069,
42724,226.4,0.385757992,
42725,225.77,-0.278268551,
42726,225.38,-0.172742171,
42727,225.71,0.146419381,
42731,226.27,0.248105977,
42732,224.4,-0.826446281,
42733,224.35,-0.02228164,
42734,223.53,-0.365500334,
42738,225.24,0.764997987,1
42739,226.58,0.594920973,
42740,226.4,-0.07944214,
42741,227.21,0.357773852,
42744,226.46,-0.330091105,
42745,226.46,0,
42746,227.1,0.282610616,
42747,226.53,-0.250990753,
42748,227.05,0.22955017,
42752,226.25,-0.352345298,
42753,226.75,0.220994475,
42754,225.91,-0.37045204,
42755,226.74,0.367402948,
42758,226.15,-0.260209932,
42759,227.6,0.641167367,
42760,229.57,0.865553603,
42761,229.33,-0.104543277,
42762,228.97,-0.156979026,
42765,227.55,-0.620168581,
42766,227.53,-0.008789277,
42767,227.62,0.039555223,2
42768,227.77,0.065899306,
42769,229.34,0.689291829,
42772,228.93,-0.178773873,
42773,228.94,0.004368147,
42774,229.24,0.1310387,
42775,230.6,0.593264701,
42776,231.51,0.394622723,
42779,232.77,0.544252948,
42780,233.7,0.399536023,
42781,234.92,0.522036799,
42782,234.72,-0.085135365,
42783,235.09,0.157634628,
42787,236.49,0.595516611,
42788,236.28,-0.088798681,
42789,236.44,0.067716269,
42790,236.74,0.126882084,
42793,237.11,0.1562896,
42794,236.47,-0.269916916,
42795,239.78,1.399754726,3
42796,238.27,-0.629743932,
42797,238.42,0.062953792,
42800,237.71,-0.297793809,
42801,237,-0.29868327,
42802,236.56,-0.185654008,
42803,236.86,0.126817721,
42804,237.69,0.350417968,
42807,237.81,0.050485927,
42808,236.9,-0.382658425,
42809,238.95,0.865344027,
42810,238.48,-0.196693869,
42811,237.03,-0.608017444,
42814,236.77,-0.109690756,
42815,233.73,-1.283946446,
42816,234.28,0.235314251,
42817,234.03,-0.10670992,
42818,233.86,-0.07264026,
42821,233.62,-0.102625502,
42822,235.32,0.727677425,
42823,235.54,0.093489716,
42824,236.29,0.318417254,
42825,235.74,-0.232764823,
42828,235.33,-0.173920421,4
42829,235.48,0.06374028,
42830,234.78,-0.297265161,
42831,235.44,0.281114235,
42832,235.2,-0.101936799,
42835,235.34,0.05952381,
42836,235.06,-0.1189768,
42837,234.03,-0.438185995,
42838,232.51,-0.649489382,
42842,234.57,0.885983399,
42843,233.87,-0.298418383,
42844,233.44,-0.18386283,
42845,235.34,0.813913639,
42846,234.59,-0.318687856,
42849,237.17,1.099791125,
42850,238.55,0.581861112,
42851,238.4,-0.062879899,
42852,238.6,0.083892617,
42853,238.08,-0.217937972,
42856,238.68,0.252016129,5
42857,238.77,0.037707391,
42858,238.48,-0.121455794,
42859,238.76,0.117410265,
42860,239.7,0.393700787,
42863,239.66,-0.016687526,
42864,239.44,-0.091796712,
42865,239.87,0.1795857,
42866,239.38,-0.204277317,
42867,238.98,-0.167098337,
42870,240.3,0.552347477,
42871,240.08,-0.091552226,
42872,235.82,-1.77440853,
42873,236.77,0.402849631,
42874,238.31,0.650420239,
42877,239.52,0.507742017,
42878,240.05,0.221275885,
42879,240.61,0.233284732,
42880,241.76,0.477951872,
42881,241.71,-0.020681668,
42885,241.5,-0.086880973,
42886,241.44,-0.02484472,
42887,243.36,0.795228628,6
42888,244.17,0.332840237,
42891,243.99,-0.07371913,
42892,243.21,-0.319685233,
42893,243.66,0.185025287,
42894,243.78,0.049248953,
42895,243.41,-0.151776192,
42898,243.36,-0.020541473,
42899,244.55,0.488987508,
42900,244.24,-0.126763443,
42901,243.77,-0.192433672,
42902,242.64,-0.463551709,
42905,244.66,0.832509067,
42906,243.01,-0.674405297,
42907,242.95,-0.024690342,
42908,242.84,-0.045276806,
42909,243.13,0.119420194,
42912,243.29,0.065808415,
42913,241.33,-0.805622919,
42914,243.49,0.895039987,
42915,241.35,-0.878886197,
42916,241.8,0.186451212,
42919,242.21,0.169561621,7
42921,242.77,0.231204327,
42922,240.55,-0.914445772,
42923,242.11,0.648513822,
42926,242.37,0.107389203,
42927,242.19,-0.074266617,
42928,244.01,0.751476114,
42929,244.42,0.168025901,
42930,245.56,0.466410277,
42933,245.53,-0.012216973,
42934,245.66,0.052946687,
42935,246.99,0.541398681,
42936,247.1,0.044536216,
42937,246.88,-0.08903278,
42940,246.82,-0.024303305,
42941,247.42,0.243092132,
42942,247.43,0.00404171,
42943,247.2,-0.092955583,
42944,246.91,-0.117313916,
42947,246.77,-0.056700822,
42948,247.32,0.222879604,8
42949,247.44,0.048520136,
42950,246.96,-0.193986421,
42951,247.41,0.182215743,
42954,247.87,0.185926195,
42955,247.26,-0.246096744,
42956,247.25,-0.004044326,
42957,243.76,-1.411526795,
42958,244.12,0.147686249,
42961,246.54,0.991315746,
42962,246.51,-0.012168411,
42963,246.94,0.174435114,
42964,243.09,-1.559083178,
42965,242.71,-0.156320704,
42968,242.9,0.078282724,
42969,245.44,1.045697818,
42970,244.56,-0.358539765,
42971,243.99,-0.233071639,
42972,244.56,0.233616132,
42975,244.57,0.004088976,
42976,244.85,0.11448665,
42977,246.01,0.473759445,
42978,247.49,0.601601561,
42979,247.84,0.141419855,9
42983,246.06,-0.718205294,
42984,246.9,0.341380151,
42985,246.87,-0.012150668,
42986,246.58,-0.117470734,
42989,249.21,1.066590964,
42990,250.05,0.337065126,
42991,250.17,0.047990402,
42992,250.09,-0.031978255,
42993,249.19,-0.359870447,
42996,249.72,0.212689113,
42997,249.97,0.100112126,
42998,250.06,0.036004321,
42999,249.39,-0.267935695,
43000,249.44,0.020048919,
43003,248.93,-0.204457986,
43004,249.08,0.060257904,
43005,250.05,0.389433114,
43006,250.35,0.119976005,
43007,251.23,0.351507889,
43010,252.32,0.433865382,10
43011,252.86,0.214013951,
43012,253.16,0.118642727,
43013,254.66,0.592510665,
43014,254.37,-0.113877327,
43017,253.95,-0.165113811,
43018,254.62,0.263831463,
43019,255.02,0.15709685,
43020,254.64,-0.149007921,
43021,254.95,0.121740496,
43024,255.29,0.133359482,
43025,255.47,0.07050805,
43026,255.72,0.097858848,
43027,255.79,0.02737369,
43028,257.11,0.516048321,
43031,256.11,-0.388938587,
43032,256.56,0.175705751,
43033,255.29,-0.495010914,
43034,255.62,0.129264758,
43035,257.71,0.817619905,
43038,256.75,-0.372511738,
43039,257.15,0.155793574,
43040,257.49,0.132218549,11
43041,257.59,0.03883646,
43042,258.45,0.333863892,
43045,258.85,0.154768814,
43046,258.67,-0.069538343,
43047,259.11,0.170100901,
43048,258.17,-0.362780286,
43049,258.09,-0.030987334,
43052,258.33,0.092990817,
43053,257.73,-0.232261061,
43054,256.44,-0.500523804,
43055,258.62,0.850101388,
43056,257.86,-0.29386745,
43059,258.3,0.170635228,
43060,259.99,0.654277971,
43061,259.76,-0.088464941,
43063,260.36,0.230982445,
43066,260.23,-0.049930865,
43067,262.87,1.014487184,
43068,262.71,-0.060866588,
43069,265.01,0.875490084,
43070,264.46,-0.207539338,12
43073,264.14,-0.121001286,
43074,263.19,-0.359657757,
43075,263.24,0.018997682,
43076,264.07,0.315301626,
43077,265.51,0.545309956,
43080,266.31,0.301306919,
43081,266.78,0.17648605,
43082,266.75,-0.011245221,
43083,265.66,-0.408622306,
43084,266.51,0.319957841,
43087,268.2,0.634122547,
43088,267.17,-0.38404176,
43089,267.03,-0.052401093,
43090,267.58,0.205969367,
43091,267.51,-0.026160401,
43095,267.19,-0.119621696,
43096,267.32,0.048654516,
43097,267.87,0.205745922,
43098,266.86,-0.377048568,
43102,268.77,0.715731095,1
43103,270.47,0.632511069,
43104,271.61,0.42148852,
43105,273.42,0.666396672,
43108,273.92,0.182868846,
43109,274.54,0.226343458,
43110,274.12,-0.152983172,
43111,276.12,0.729607471,
43112,277.92,0.651890482,
43116,276.97,-0.341824986,
43117,279.61,0.953171824,
43118,279.14,-0.16809127,
43119,280.41,0.454968833,
43122,282.69,0.813095111,
43123,283.29,0.212246631,
43124,283.18,-0.038829468,
43125,283.3,0.042375874,
43126,286.58,1.157783269,
43129,284.68,-0.662991137,
43130,281.76,-1.025713081,
43131,281.9,0.049687677,
43132,281.58,-0.113515431,2
43133,275.45,-2.177001207,
43136,263.93,-4.182247232,
43137,269.13,1.970219376,
43138,267.67,-0.54248876,
43139,257.63,-3.750887287,
43140,261.5,1.502154252,
43143,265.34,1.468451243,
43144,266,0.248737469,
43145,269.59,1.34962406,
43146,273.03,1.276011722,
43147,273.11,0.029300809,
43151,271.4,-0.626121343,
43152,270.05,-0.497420781,
43153,270.4,0.129605629,
43154,274.71,1.593934911,
43157,277.9,1.161224564,
43158,274.43,-1.248650594,
43159,271.65,-1.013008782,
43160,267.7,-1.454076937,3
43161,269.08,0.515502428,
43164,272.19,1.1557901,
43165,272.88,0.253499394,
43166,272.78,-0.036646145,
43167,274.1,0.483906445,
43168,278.87,1.740240788,
43171,278.52,-0.125506508,
43172,276.72,-0.646273158,
43173,275.3,-0.513154091,
43174,275,-0.108972031,
43175,274.2,-0.290909091,
43178,270.49,-1.353026988,
43179,270.95,0.17006174,
43180,270.43,-0.191917328,
43181,263.67,-2.499722664,
43182,258.05,-2.131452194,
43185,265.11,2.735903895,
43186,260.6,-1.701180642,
43187,259.83,-0.295471988,
43188,263.15,1.277758534,
43192,257.47,-2.158464754,4
43193,260.77,1.281702723,
43194,263.56,1.069908348,
43195,265.64,0.789194111,
43196,259.72,-2.228580033,
43199,261,0.492838441,
43200,265.15,1.590038314,
43201,263.76,-0.524231567,
43202,265.93,0.822717622,
43203,265.15,-0.29331027,
43206,267.33,0.822176127,
43207,270.19,1.069838776,
43208,270.39,0.074021985,
43209,268.89,-0.554754244,
43210,266.61,-0.84793038,
43213,266.57,-0.015003188,
43214,262.98,-1.346738193,
43215,263.63,0.247167085,
43216,266.31,1.016576262,
43217,266.56,0.093875559,
43220,264.51,-0.769057623,
43221,264.98,0.177687044,5
43222,263.2,-0.671748811,
43223,262.62,-0.220364742,
43224,266.02,1.294646257,
43227,266.92,0.338320427,
43228,266.92,0,
43229,269.5,0.966581747,
43230,272.02,0.935064935,
43231,272.85,0.305124623,
43234,272.98,0.047645226,
43235,271.1,-0.688695143,
43236,272.24,0.420509037,
43237,272.01,-0.084484279,
43238,271.33,-0.249990809,
43241,273.37,0.751851988,
43242,272.61,-0.278011486,
43243,273.36,0.275118301,
43244,272.8,-0.204858063,
43245,272.15,-0.238269795,
43249,269.02,-1.150101047,
43250,272.61,1.334473273,
43251,270.94,-0.61259675,
43252,273.6,0.981767181,6
43255,274.9,0.475146199,
43256,275.1,0.072753729,
43257,277.4,0.836059615,
43258,277.37,-0.010814708,
43259,278.19,0.295633991,
43262,278.56,0.133002624,
43263,278.92,0.129236071,
43264,278.03,-0.319087911,
43265,278.73,0.251771392,
