,Date,SPY,UPDOWN,MONTH,CLASS
0,42705,219.57,0.0,12.0,1
1,42706,219.68,0.050097919000000005,,2
2,42709,221.0,0.6008739989999999,,2
3,42710,221.7,0.316742081,,2
4,42711,224.6,1.308073974,,2
5,42712,225.15,0.24487978600000002,,2
6,42713,226.51,0.60404175,,2
7,42716,226.25,-0.11478521900000001,,1
8,42717,227.76,0.667403315,,2
9,42718,225.88,-0.825430277,,1
10,42719,226.81,0.41172303899999996,,2
11,42720,225.04,-0.7803888720000001,,1
12,42723,225.53,0.21773906899999998,,2
13,42724,226.4,0.38575799200000005,,2
14,42725,225.77,-0.27826855100000003,,1
15,42726,225.38,-0.17274217100000003,,1
16,42727,225.71,0.146419381,,2
17,42731,226.27,0.248105977,,2
18,42732,224.4,-0.826446281,,1
19,42733,224.35,-0.02228164,,1
20,42734,223.53,-0.365500334,,1
21,42738,225.24,0.764997987,1.0,2
22,42739,226.58,0.594920973,,2
23,42740,226.4,-0.07944214,,1
24,42741,227.21,0.357773852,,2
25,42744,226.46,-0.330091105,,1
26,42745,226.46,0.0,,1
27,42746,227.1,0.28261061600000004,,2
28,42747,226.53,-0.250990753,,1
29,42748,227.05,0.22955017,,2
30,42752,226.25,-0.352345298,,1
31,42753,226.75,0.220994475,,2
32,42754,225.91,-0.37045204,,1
33,42755,226.74,0.36740294799999995,,2
34,42758,226.15,-0.260209932,,1
35,42759,227.6,0.641167367,,2
36,42760,229.57,0.865553603,,2
37,42761,229.33,-0.10454327699999999,,1
38,42762,228.97,-0.156979026,,1
39,42765,227.55,-0.620168581,,1
40,42766,227.53,-0.008789277,,1
41,42767,227.62,0.039555223,2.0,2
42,42768,227.77,0.06589930599999999,,2
43,42769,229.34,0.6892918290000001,,2
44,42772,228.93,-0.178773873,,1
45,42773,228.94,0.004368147,,2
46,42774,229.24,0.1310387,,2
47,42775,230.6,0.5932647010000001,,2
48,42776,231.51,0.39462272299999995,,2
49,42779,232.77,0.544252948,,2
50,42780,233.7,0.39953602299999996,,2
51,42781,234.92,0.522036799,,2
52,42782,234.72,-0.085135365,,1
53,42783,235.09,0.157634628,,2
54,42787,236.49,0.595516611,,2
55,42788,236.28,-0.08879868099999999,,1
56,42789,236.44,0.06771626900000001,,2
57,42790,236.74,0.126882084,,2
58,42793,237.11,0.1562896,,2
59,42794,236.47,-0.269916916,,1
60,42795,239.78,1.3997547259999998,3.0,2
61,42796,238.27,-0.629743932,,1
62,42797,238.42,0.06295379200000001,,2
63,42800,237.71,-0.29779380899999996,,1
64,42801,237.0,-0.29868327,,1
65,42802,236.56,-0.185654008,,1
66,42803,236.86,0.126817721,,2
67,42804,237.69,0.35041796799999997,,2
68,42807,237.81,0.050485927,,2
69,42808,236.9,-0.382658425,,1
70,42809,238.95,0.865344027,,2
71,42810,238.48,-0.196693869,,1
72,42811,237.03,-0.608017444,,1
73,42814,236.77,-0.109690756,,1
74,42815,233.73,-1.2839464459999999,,1
75,42816,234.28,0.235314251,,2
76,42817,234.03,-0.10670992,,1
77,42818,233.86,-0.07264026,,1
78,42821,233.62,-0.102625502,,1
79,42822,235.32,0.727677425,,2
80,42823,235.54,0.093489716,,2
81,42824,236.29,0.318417254,,2
82,42825,235.74,-0.232764823,,1
83,42828,235.33,-0.17392042100000002,4.0,1
84,42829,235.48,0.06374028,,2
85,42830,234.78,-0.297265161,,1
86,42831,235.44,0.281114235,,2
87,42832,235.2,-0.10193679900000001,,1
88,42835,235.34,0.05952381,,2
89,42836,235.06,-0.11897680000000001,,1
90,42837,234.03,-0.438185995,,1
91,42838,232.51,-0.6494893820000001,,1
92,42842,234.57,0.885983399,,2
93,42843,233.87,-0.298418383,,1
94,42844,233.44,-0.18386283,,1
95,42845,235.34,0.813913639,,2
96,42846,234.59,-0.318687856,,1
97,42849,237.17,1.099791125,,2
98,42850,238.55,0.581861112,,2
99,42851,238.4,-0.062879899,,1
100,42852,238.6,0.08389261699999999,,2
101,42853,238.08,-0.21793797199999998,,1
102,42856,238.68,0.252016129,5.0,2
103,42857,238.77,0.037707391,,2
104,42858,238.48,-0.121455794,,1
105,42859,238.76,0.117410265,,2
106,42860,239.7,0.39370078700000005,,2
107,42863,239.66,-0.016687526,,1
108,42864,239.44,-0.09179671199999999,,1
109,42865,239.87,0.17958570000000001,,2
110,42866,239.38,-0.20427731699999999,,1
111,42867,238.98,-0.16709833699999999,,1
112,42870,240.3,0.552347477,,2
113,42871,240.08,-0.091552226,,1
114,42872,235.82,-1.77440853,,1
115,42873,236.77,0.40284963100000004,,2
116,42874,238.31,0.650420239,,2
117,42877,239.52,0.507742017,,2
118,42878,240.05,0.221275885,,2
119,42879,240.61,0.233284732,,2
120,42880,241.76,0.47795187200000006,,2
121,42881,241.71,-0.020681668,,1
122,42885,241.5,-0.08688097300000001,,1
123,42886,241.44,-0.02484472,,1
124,42887,243.36,0.7952286279999999,6.0,2
125,42888,244.17,0.332840237,,2
126,42891,243.99,-0.07371913,,1
127,42892,243.21,-0.319685233,,1
128,42893,243.66,0.18502528699999998,,2
129,42894,243.78,0.049248953,,2
130,42895,243.41,-0.151776192,,1
131,42898,243.36,-0.020541473,,1
132,42899,244.55,0.48898750799999996,,2
133,42900,244.24,-0.126763443,,1
134,42901,243.77,-0.192433672,,1
135,42902,242.64,-0.463551709,,1
136,42905,244.66,0.832509067,,2
137,42906,243.01,-0.6744052970000001,,1
138,42907,242.95,-0.024690342,,1
139,42908,242.84,-0.045276805999999996,,1
140,42909,243.13,0.11942019400000001,,2
141,42912,243.29,0.065808415,,2
142,42913,241.33,-0.805622919,,1
143,42914,243.49,0.895039987,,2
144,42915,241.35,-0.878886197,,1
145,42916,241.8,0.186451212,,2
146,42919,242.21,0.16956162100000002,7.0,2
147,42921,242.77,0.231204327,,2
148,42922,240.55,-0.914445772,,1
149,42923,242.11,0.6485138220000001,,2
150,42926,242.37,0.107389203,,2
151,42927,242.19,-0.07426661700000001,,1
152,42928,244.01,0.751476114,,2
153,42929,244.42,0.168025901,,2
154,42930,245.56,0.46641027700000004,,2
155,42933,245.53,-0.012216973,,1
156,42934,245.66,0.052946687,,2
157,42935,246.99,0.541398681,,2
158,42936,247.1,0.044536215999999997,,2
159,42937,246.88,-0.08903278,,1
160,42940,246.82,-0.024303305,,1
161,42941,247.42,0.243092132,,2
162,42942,247.43,0.00404171,,2
163,42943,247.2,-0.09295558300000001,,1
164,42944,246.91,-0.11731391599999999,,1
165,42947,246.77,-0.056700822000000005,,1
166,42948,247.32,0.22287960399999998,8.0,2
167,42949,247.44,0.048520136,,2
168,42950,246.96,-0.19398642100000002,,1
169,42951,247.41,0.182215743,,2
170,42954,247.87,0.185926195,,2
171,42955,247.26,-0.24609674399999998,,1
172,42956,247.25,-0.004044326,,1
173,42957,243.76,-1.411526795,,1
174,42958,244.12,0.147686249,,2
175,42961,246.54,0.9913157459999999,,2
176,42962,246.51,-0.012168411,,1
177,42963,246.94,0.17443511399999997,,2
178,42964,243.09,-1.559083178,,1
179,42965,242.71,-0.156320704,,1
180,42968,242.9,0.078282724,,2
181,42969,245.44,1.045697818,,2
182,42970,244.56,-0.358539765,,1
183,42971,243.99,-0.233071639,,1
184,42972,244.56,0.233616132,,2
185,42975,244.57,0.004088975999999999,,2
186,42976,244.85,0.11448665,,2
187,42977,246.01,0.473759445,,2
188,42978,247.49,0.6016015610000001,,2
189,42979,247.84,0.141419855,9.0,2
190,42983,246.06,-0.7182052940000001,,1
191,42984,246.9,0.341380151,,2
192,42985,246.87,-0.012150668,,1
193,42986,246.58,-0.11747073400000001,,1
194,42989,249.21,1.066590964,,2
195,42990,250.05,0.337065126,,2
196,42991,250.17,0.047990402,,2
197,42992,250.09,-0.031978255,,1
198,42993,249.19,-0.35987044700000004,,1
199,42996,249.72,0.212689113,,2
200,42997,249.97,0.100112126,,2
201,42998,250.06,0.036004321,,2
202,42999,249.39,-0.267935695,,1
203,43000,249.44,0.020048919,,2
204,43003,248.93,-0.204457986,,1
205,43004,249.08,0.060257904,,2
206,43005,250.05,0.38943311399999997,,2
