Date,UNRATE
42705,4.7
42736,4.7
42767,4.6
42795,4.4
42826,4.4
42856,4.4
42887,4.3
42917,4.3
42948,4.4
42979,4.3
43009,4.2
43040,4.2
43070,4.1
43101,4
43132,4.1
43160,4
43191,4
43221,3.8
43252,4
43282,3.8
43313,3.8
43344,3.7
43374,3.8
43405,3.8
43435,3.9
43466,4
43497,3.8
43525,3.8
43556,3.6
43586,3.6
43617,3.6
43647,3.7
43678,3.7
43709,3.5
43739,3.6
43770,3.6
43800,3.6
43831,3.5
43862,3.5
43891,4.4
43922,14.7
43952,13.2
43983,11
44013,10.2
44044,8.4
44075,7.9
44105,6.9
44136,6.7
44166,6.7
44197,6.4
44228,6.2
44256,6
44287,6
44317,5.8
44348,5.9
44378,5.4
44409,5.2
44440,4.7
44470,4.6
44501,4.2
44531,3.9
